Materia;Carrera;Nivel;NumeroNivel
CÁLCULO DE UNA VARIABLE;2;Primer;1
METODOLOGÍA DE LA INVESTIGACIÓN;2;Primer;1
FÍSICA BÁSICA;2;Primer;1
ALGEBRA LINEAL;2;Primer;1
TECNOLOGÍAS DE LA INFORMACIÓN Y  COMUNICACIÓN (TIC);2;Primer;1
QUÍMICA;2;Primer;1
CÁLCULO DE VARIAS VARIABLES;2;Segundo;2
FÍSICA APLICADA;2;Segundo;2
FUNDAMENTOS DE PROGRAMACIÓN;2;Segundo;2
BASE DE DATOS;2;Segundo;2
EVOLUCIÓN DE LAS TELECOMUNICACIONES;2;Segundo;2
GESTIÓN DE CALIDAD;2;Segundo;2
FÍSICA PARA ELECTRÓNICA;2;Tercer;3
ECUACIONES DIFERENCIALES;2;Tercer;3
PROBABILIDAD Y ESTADÍSTICA;2;Tercer;3
DISPOSITIVOS Y MEDIDAS ;2;Tercer;3
PROGRAMACIÓN AVANZADA;2;Tercer;3
MÉTODOS NUMÉRICOS;2;Tercer;3
SISTEMAS LINEALES;2;Cuarto;4
ANÁLISIS DE CIRCUITOS;2;Cuarto;4
SOFTWARE DE SIMULACIÓN;2;Cuarto;4
ELECTROMAGNETISMO;2;Cuarto;4
SISTEMAS DIGITALES;2;Cuarto;4
PRACTICAS DE SERVICIO COMUNITARIO;2;Quinto;5
CIRCUITOS ELECTRÓNICOS;2;Quinto;5
PROCESOS ESTOCÁSTICOS;2;Quinto;5
REALIDAD NACIONAL;2;Quinto;5
SISTEMAS EMBEBIDOS (VLSI);2;Quinto;5
LEGISLACIÓN LABORAL ;2;Quinto;5
COMUNICACIÓN ANALÓGICA;2;Sexto;6
LÍNEAS DE TRANSMISIÓN;2;Sexto;6
PROCESAMIENTO DIGITAL DE SEÑALES E IMÁGENES;2;Sexto;6
PROYECTOS DE TELECOMUNICACIONES ;2;Sexto;6
REDES DE DATOS;2;Sexto;6
SISTEMAS DE TELEFONÍA ;2;Sexto;6
PRÁCTICAS LABORALES ;2;Septimo;7
COMUNICACIÓN DIGITAL;2;Septimo;7
CIRCUITOS RF;2;Septimo;7
PROPAGACIÓN Y ANTENAS ;2;Septimo;7
CONMUTACIÓN Y ENRUTAMIENTO DE REDES;2;Septimo;7
SISTEMAS INALÁMBRICOS;2;Octavo;8
